source_id,title,organization,author,source_type,publication_date,url,accessed_date,primary_or_secondary,reliability_notes,topics,used_for_claims
DYN-S011,Dyna Robotics Raises $120 Million to Advance Robotic Foundation Models,Dyna Robotics,Dyna Robotics,Official Company / Marketing,2025-09-15,https://www.prnewswire.com/news-releases/dyna-robotics-raises-120-million-to-advance-robotic-foundation-models-on-the-path-to-physical-artificial-general-intelligence-302556817.html,2026-08-18,Primary,"Company-issued release; funding is corroborated independently, technical and deployment claims are not.",Series A;founders;investors;deployment,"$120M;investors;16-hour customer operations;founder history"
DYN-S012,What 10 Months in Production Taught Us About the Robotics Bubble,Dyna Robotics,York Yang,Official Company Technical Post,2026-05-20,https://www.dyna.co/news/robotics-bubble,2026-08-18,Primary,"First-party technical and strategy retrospective that candidly reports deployment friction; still lacks customer-level logs and denominators.",deployment;post-training;channel;hardware;commercial strategy,"10-month deployment;weeks-to-months engineering;integration thesis;evidence standard"
DYN-S013,How Monster Laundry Scaled Its Laundromat Operation with DYNA Robotics,Dyna Robotics,Dyna Robotics,Official Company / Marketing,2025-10-14,https://www.dyna.co/news/monster-laundry,2026-08-18,Secondary,"Named customer testimonial hosted and edited by Dyna; it is external corroboration by a named customer but not independent verification.",laundry;customer deployment;RaaS;quality;throughput,"200k items;10 clients;25% capacity;99% acceptance;adaptation"
DYN-S014,Dyna Robotics Raises $120 Million in Funding From Nvidia Amazon,Bloomberg,Jackie Davalos,Third Party Reporting,2025-09-15,https://www.bloomberg.com/news/articles/2025-09-15/dyna-robotics-raises-120-million-in-funding-from-nvidia-amazon,2026-08-18,Secondary,"Independent high-quality reporting corroborates round size, valuation threshold, lead investors, and participants.",funding;valuation;investors,"$120M Series A;valuation above $600M;investors"
DYN-S015,Why we invested in Dyna,Samsung Next,Niko Ciminelli,Investor Primary Source,2025-09-22,https://www.samsungnext.com/blog/why-we-invested-in-dyna,2026-08-18,Secondary,"Investor-authored source has direct diligence access but clear financial interest; treat technical claims as interested corroboration.",investment;team;reward model;deployment,"investor rationale;team background;claimed technical stack"
DYN-S016,Jason Ma research profile,Jason Ma,Yecheng Jason Ma,Researcher Profile / Personal Primary Source,Undated,https://jasonma2016.github.io/,2026-08-18,Primary,"Researcher's personal academic profile; reliable for self-reported affiliations and publication links, not a Dyna company source or independent assessment of impact.",founder research;reward learning;sim-to-real;VLM,"Jason Ma history;selected papers;prior affiliations"
DYN-S017,Foundation Reward Models for General Robot Skill Acquisition,OpenReview,Yecheng Jason Ma,Research Paper,2025-04-21,https://openreview.net/forum?id=PQQOwqKu2o,2026-08-18,Primary,"RSS Pioneers 2025 oral workshop-style publication record; relevant lineage but not direct validation of DYNA-1 production metrics.",foundation reward model;robot learning;research lineage,"reward-model research lineage"
DYN-S018,World Action Models are Zero-shot Policies,arXiv,Ye et al.,Research Paper,2026-02-20,https://arxiv.org/abs/2602.15922,2026-08-18,Primary,"Original preprint for DreamZero; establishes related WAM framing, not evidence for Dyna-2 results.",WAM;video generation;zero-shot policy,"WAM definition;related work"
DYN-S019,Unified World Models: Coupling Video and Action Diffusion for Pretraining on Large Robotic Datasets,arXiv,Zhu et al.,Research Paper,2025-04-03,https://arxiv.org/abs/2504.02792,2026-08-18,Primary,"Original preprint on joint video/action diffusion; related architecture evidence only.",world model;video-action diffusion;robot pre-training,"joint video-action modeling;related work"
DYN-S020,EgoScale: Scaling Dexterous Manipulation with Diverse Egocentric Human Data,arXiv,Zheng et al.,Research Paper,2026-02-18,https://arxiv.org/abs/2602.16710,2026-08-18,Primary,"Original preprint and closest cited human-video scaling comparison; protocol differs through alignment and mid-training.",egocentric video;scaling;human-to-robot,"prior scaling comparison;alignment distinction"
DYN-S021,π0: A Vision-Language-Action Flow Model for General Robot Control,arXiv,Black et al.,Research Paper,2024-10-31,https://arxiv.org/abs/2410.24164,2026-08-18,Primary,"Original VLA research preprint; supports architecture context, not Dyna's comparative result.",VLA;flow matching;robot control,"VLA comparison context;flow policy"
DYN-S022,OpenVLA: An Open-Source Vision-Language-Action Model,arXiv,Kim et al.,Research Paper,2024-06-13,https://arxiv.org/abs/2406.09246,2026-08-18,Primary,"Original open VLA paper and implementation reference.",VLA;open model;robot control,"VLA definition;related work"
DYN-S023,Scalable Behavior Cloning with Open Data Training and Evaluation,arXiv,Allshire et al.,External Dataset / Benchmark,2026-06-30,https://arxiv.org/abs/2606.27375,2026-08-18,Primary,"Original external ABC dataset and benchmark source cited by Dyna; external provenance does not make Dyna's preprocessing, scoring, or conclusions independently verified.",benchmark;open data;behavior cloning;YAM,"27 external tasks in 39-task offline suite"
DYN-S024,MCAP Introduction,MCAP Project,MCAP maintainers,Documentation,Undated,https://mcap.dev/guides,2026-08-18,Primary,"Official format documentation; authoritative for MCAP concepts, not for Dyna's measured gains.",MCAP;robotics data;timestamped streams,"MCAP definition;container properties"
DYN-S025,HDF5 User Guide,HDF Group,HDF Group,Documentation,Undated,https://docs.hdfgroup.org/archive/support/HDF5/doc/PSandPDF/HDF5_UsersGuide.PDF,2026-08-18,Primary,"Official HDF5 documentation; authoritative for the format's general model.",HDF5;storage format,"HDF5 definition;baseline context"
DYN-S026,H.264 Advanced Video Coding,ITU-T,ITU-T,Standards,Undated,https://www.itu.int/rec/T-REC-H.264,2026-08-18,Primary,"Authoritative standards landing page; Dyna-specific encoding choices remain first-party.",H.264;video compression;GOP,"H.264 definition;compression context"
DYN-S027,Apache Airflow DAGs,Apache Software Foundation,Apache Airflow project,Documentation,Undated,https://airflow.apache.org/docs/apache-airflow/stable/core-concepts/dags.html,2026-08-18,Primary,"Official Airflow documentation; supports orchestration concepts only.",Airflow;DAG;workflow orchestration,"DAG definition;ingestion orchestration"
DYN-S028,Kubernetes Concepts,Kubernetes Project,Kubernetes contributors,Documentation,Undated,https://kubernetes.io/docs/concepts/overview/,2026-08-18,Primary,"Official Kubernetes documentation; Dyna's original single-job implementation is reported only by Dyna.",Kubernetes;container orchestration,"Kubernetes definition;original pipeline context"
DYN-S029,Alluxio Documentation Overview,Alluxio,Alluxio,Documentation,Undated,https://documentation.alluxio.io/os-en/Overview,2026-08-18,Primary,"Vendor documentation for the cache layer; Dyna's throughput and deployment are not independently benchmarked here.",cache;NVMe;distributed data,"cluster-local cache concept"
DYN-S030,FullyShardedDataParallel,PyTorch,PyTorch contributors,Documentation,Undated,https://docs.pytorch.org/docs/stable/fsdp.html,2026-08-18,Primary,"Official PyTorch documentation; used as architecture context for Dyna's topology-aware optimizer design.",FSDP;sharding;distributed training,"optimizer sharding context"
DYN-S031,Slurm Workload Manager Overview,SchedMD,SchedMD,Documentation,Undated,https://slurm.schedmd.com/overview.html,2026-08-18,Primary,"Official Slurm documentation; Dyna's health checks and restart policy are first-party implementation claims.",Slurm;scheduling;job resilience,"preflight gating;requeue context"
DYN-S032,Getting started with Ansible,Red Hat Ansible,Red Hat,Documentation,Undated,https://docs.ansible.com/ansible/latest/getting_started/introduction.html,2026-08-18,Primary,"Official Ansible documentation; supports provisioning concept only.",Ansible;cluster provisioning,"one-click cluster build context"
DYN-S033,Dyna Robotics unveils DYNA-2 World-Action Model,Dyna Robotics,Dyna Robotics,Official Company / Marketing,2026-08-10,https://www.prnewswire.com/news-releases/dyna-robotics-unveils-dyna-2-world-action-model-demonstrating-first-true-scaling-law-in-robotics-powered-entirely-by-human-data-302847114.html,2026-08-18,Primary,"Corrected company press release distributed by PR Newswire. It uses broader marketing language than the technical report, including pure video, powered entirely by human egocentric video, zero-shot production-level performance, and 13 minutes for the bottle-cap example; it is not independent verification.",DYNA-2;marketing language;human video;zero-shot;bottle cap,"pure video;powered entirely by human video;human-to-robot scaling law;13-minute bottle-cap wording"
