claim_id,topic,claim_text,source_id,source_type,publication_date,evidence_strength,scope,evaluation_protocol,evaluation_type,exact_wording,customer_site_status,attempt_denominator,runtime_window,robot_count,adaptation_cost,robot_data_requirement,human_intervention,external_corroboration,independent_verification,unknowns,recommended_wording,claim_importance,verification_risk,fix_priority
DYN-C011,Adaptation,Dyna states a small amount of on-site learning improved customer-site quality and throughput.,DYN-S003,Official Company Technical Post,2025-06-24,Weak,One napkin-folding site,No hours or samples disclosed,Company-run quantitative evaluation,Not transcribed,Company-described customer site,Not applicable,Not applicable,Not applicable,Unknown; described only as small,Some on-site robot data,Unknown,None,No,Hours; trajectories; engineering labor; model update process,Dyna reports post-deployment improvement after an unspecified amount of on-site training.,High,High,P0
DYN-C012,Quality,Dyna reports 98% of folds at grade 3 or higher and 75% at its grade 4-or-5 production bar.,DYN-S003,Official Company Technical Post,2025-06-24,Moderate,Internal napkin quality rubric,Five-point internal/customer rubric; rater details absent,Company-run quantitative evaluation,Not transcribed,Not applicable,Unknown,24 hours,One disclosed bimanual station; exact hardware count Unknown,Unknown,Unknown,Unknown,None,No,Sample size; rater identity; inter-rater agreement; rejected items,"Under Dyna's disclosed five-point rubric, the company reports 98% grade ≥3 and 75% grade ≥4; no independent audit is available.",Medium,High,P1
DYN-C013,Commercial deployment,Dyna says DYNA-1 folds napkins for paying customers.,DYN-S003,Official Company Technical Post,2025-06-24,Moderate,At least one commercial deployment,Company statement,Official company statement,Not transcribed,Company-described customer site,Not applicable,Not applicable,Not applicable,Unknown,Task-specific data and on-site learning indicated,Unknown,Named Customer,No,Customer count; contract status; runtime and intervention logs,Dyna reports paid customer use; one later named laundry case provides partial corroboration for commercial deployment generally.,Medium,Medium,P1
DYN-C014,DYNA-1i post-training,DYNA-1i reportedly requires only tens of hours of office-collected post-training data for laundry generalization.,DYN-S004,Official Company Technical Post,2025-10-15,Weak,Laundry folding,Company benchmark description without full table in text,Company-run quantitative evaluation,tens of hours of post-training data collected entirely in our office,Not applicable,Not applicable,Not applicable,One robot per disclosed evaluation window; number of repeated stations Unknown,Tens of hours; exact hours and stations undisclosed,Office robot data,Unknown,None,No,Exact hours; number of shirts; task balance; checkpoints,Dyna reports tens of hours of office robot data for DYNA-1i laundry post-training.,High,High,P1
DYN-C015,DYNA-1i generalization,Dyna reports comparable 30-minute laundry-folding performance in a seen office condition and a combined unseen Lobby / Parking / CoRL condition.,DYN-S004,Official Company Technical Post,2025-10-15,Moderate,Laundry folding in selected unseen scenes,Two company-reported 30-minute continuous condition rows; repeats and confidence intervals undisclosed,Company-run quantitative evaluation,Not transcribed,Not applicable,Not applicable,Not applicable,One robot per disclosed evaluation window; number of repeated stations Unknown,No target-site training claimed,Tens of hours from source stations,Unknown,None,No,Trial counts; performance delta; site selection; resets,"Dyna reports similar short-window internal performance across one seen and one combined unseen condition; this is quantitative company evidence, not independent replication.",High,High,P1
DYN-C016,Live demo,The same DYNA-1i model ran on a new Dynasaur robot during three days of CoRL exhibition demos and recovered from attendee disturbances.,DYN-S004,Official Company Technical Post,2025-10-15,Weak,Conference demonstration,Company report and linked video,Public demonstration,Not transcribed,Not applicable,Not applicable,Three exhibition days; active runtime Unknown,Not applicable,Robot setup undisclosed; no model retraining claimed,Existing post-training data,Staff presence likely; interventions unreported,Public Event,No,Total runtime; attempts; failures; resets; third-party log,Dyna reports a three-day public demo with disturbance recovery; this is not a controlled reliability evaluation.,Low,High,P2
DYN-C017,DYNA-1 pre-training,Dyna says a DYNA-1 base model performed laundry folding and package sorting with no post-training or environment-specific data.,DYN-S005,Official Company Technical Post,2025-11-20,Weak,Selected tasks and environments,Short company update; videos; no benchmark protocol,Company demonstration / limited protocol,Not transcribed,Not applicable,Not applicable,Not applicable,Not applicable,Claimed zero task-specific adaptation,Pre-training data undisclosed,Unknown,None,No,Training corpus; attempts; task definitions; contamination,Dyna reports selected zero-shot behaviors from a DYNA-1 base model; the protocol is not disclosed.,High,High,P0
DYN-C018,Fine-tuning,Dyna reports roughly 100% success on selected new tasks using as little as one hour of demonstrations.,DYN-S005,Official Company Technical Post,2025-11-20,Weak,Cup stacking; celery chopping; breakfast making; tablemat preparation,No attempt count or per-task table,Company-run quantitative evaluation,Not transcribed,Not applicable,Not applicable,Not applicable,Not applicable,As little as one hour; engineering labor unknown,One hour of robot demonstrations claimed,Unknown,None,No,Which task used one hour; denominator; retries; success criteria,Dyna reports near-100% internal success on selected tasks with as little as one hour of demonstrations; details are insufficient for comparison.,High,High,P0
DYN-C019,DYNA-2 data,Dyna reports that Dyna-2 was pre-trained on more than one million hours of egocentric human video.,DYN-S006,Official Research,2026-08-15,Moderate,Human manipulation video corpus,Company corpus description; no public dataset or external audit,Official company statement,Not transcribed,Not applicable,Not applicable,Not applicable,Not applicable,Collection and annotation cost undisclosed,No robot data in scaling-law pre-training; pseudo-actions from hands,Human collection and QA operations required,None,No,Licensing; source mix; deduplication; exact usable hours; privacy,Dyna reports a 1M+ hour human-video pre-training corpus; the corpus is not independently audited or released.,High,High,P0
DYN-C020,WAM architecture,Dyna-2 is a video-diffusion-based mixture-of-transformers model that predicts future video and action using flow matching.,DYN-S006,Official Research,2026-08-15,Moderate,Described scaling-law model variants,Architecture diagram and equations; no code or weights,Official architecture or method disclosure,Not transcribed,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Human pseudo-action data for action objective; video-only data for video objective,Not applicable,None,No,Parameter count; tokenizer details; compute; optimizer schedule; code,Dyna describes Dyna-2 as a flow-matched World-Action Model with separate video and action transformer streams.,High,Medium,P1
DYN-C021,WAM inference,The scaling-law policy does not generate or attend to predicted future video at inference time; future prediction shapes shared representations during training.,DYN-S006,Official Research,2026-08-15,Strong,Scaling-law Dyna-2 variant,Architecture and objective explicitly stated,Official architecture or method disclosure,Not transcribed,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,None,No,Whether production variants ever plan through generated video,"For the disclosed scaling-law variant, world modeling is a training objective, not planning by imagined video at inference.",High,Low,P1
DYN-C022,Pseudo-action,Dyna derives wrist trajectories and a continuous grasp signal from 3D hand-pose tracks in human video.,DYN-S006,Official Research,2026-08-15,Moderate,Episodes passing internal hand-pose quality bar,Company pipeline description,Official architecture or method disclosure,Not transcribed,Not applicable,Not applicable,Not applicable,Not applicable,Annotation cost undisclosed,Human video; no robot action labels in pre-training,Human/automated QA mix unknown,None,No,Pose estimator; accuracy; failure rate; fraction of corpus labeled,Dyna reports constructing pseudo-actions from 3D wrist tracks and thumb-index aperture.,High,Medium,P1
DYN-C023,Scaling ladder,Dyna trains nested 1k/10k/100k/1M-hour subsets with source proportions held fixed.,DYN-S006,Official Research,2026-08-15,Strong,Human-data scaling experiment,Nested exact-hour subsets,Official architecture or method disclosure,Not transcribed,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Human data only,Not applicable,None,No,Exact source proportions; deduplication; compute per rung,"Dyna's scaling experiment uses nested 1k, 10k, 100k and 1M-hour subsets.",High,Low,P1
DYN-C024,Experimental control,Dyna states training and evaluation settings were identical across ladder points and leaves model-size and compute scaling for future work.,DYN-S006,Official Research,2026-08-15,Moderate,Scaling-law variants,Hours are intended independent variable,Official architecture or method disclosure,Not transcribed,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Human data only,Not applicable,None,No,Actual tokens/updates and compute matching; random seeds,"The reported law varies human-data hours, not model size or compute; independent reproduction is unavailable.",High,Medium,P1
DYN-C025,Human evaluation,"Held-out human evaluation uses a fixed disjoint 100-hour set and averages 10 late-window checkpoints across MSE, L1 and two threshold accuracies.",DYN-S006,Official Research,2026-08-15,Strong,Held-out human action prediction,100-hour validation; 10 checkpoints; four metrics,Company-run quantitative evaluation,Not transcribed,Not applicable,Fixed 100-hour validation; sample count undisclosed,Not applicable,Not applicable,Not applicable,Human data,Not applicable,None,No,Validation source composition; confidence intervals; seed variance,Dyna reports a controlled held-out human prediction protocol with four metrics and checkpoint averaging.,Medium,Low,P1
DYN-C026,Offline robot evaluation,"The zero-shot offline suite contains 39 tasks: 12 internal and 27 from the external xdof ABC source, on two stationary bimanual YAM platforms.",DYN-S006,Official Research,2026-08-15,Strong,Offline robot action prediction,Held-out trajectories; 39 tasks,Company-run quantitative evaluation,Not transcribed,Not applicable,39 tasks; trajectory count undisclosed,Not applicable,Not applicable,No adaptation for offline evaluation,No robot trajectories in pre-training claimed,No deployment intervention; offline only,External Dataset,No,Exact trajectory counts; task weighting; whether ABC preprocessing was fixed,"Dyna evaluates offline on 39 held-out robot tasks, including 27 from an external dataset; scoring remains company-run.",High,Medium,P1
DYN-C027,Zero-shot definition,No checkpoint in the 39-task section trained on trajectories from either robot evaluation source.,DYN-S006,Official Research,2026-08-15,Moderate,39-task offline suite,Company declaration,Company-run quantitative evaluation,Not transcribed,Not applicable,Not applicable,Not applicable,Not applicable,None,No evaluation-source robot data,Not applicable,None,No,Semantic overlap with human corpus; duplicate scenes; data leakage audit,Dyna defines this offline result as zero-shot with respect to robot trajectories from the evaluation sources.,High,Low,P1
DYN-C028,Cross-embodiment scaling,"All four offline robot metrics reportedly improve monotonically with human pre-training scale, with an inflection between 10k and 100k hours.",DYN-S006,Official Research,2026-08-15,Moderate,Offline robot prediction on 39 tasks,Four ladder points; company evaluation,Company-run quantitative evaluation,Not transcribed,Not applicable,Not applicable,Not applicable,Not applicable,None,Human-only pre-training,Not applicable,None,No,Power-law fit parameters; seed variance; confidence intervals; leakage controls,Dyna reports monotonic offline cross-embodiment prediction gains; this does not by itself establish robot task success.,High,High,P0
DYN-C029,On-robot evaluation,"The post-training evaluation spans 14 internal tasks and three embodiments: parallel-jaw bimanual arms, dexterous hands, and a semi-humanoid prototype.",DYN-S006,Official Research,2026-08-15,Strong,14 selected tasks,Internal physical evaluation,Company-run quantitative evaluation,Not transcribed,Not applicable,14 tasks,Not applicable,Three embodiment classes; physical unit count Unknown,Task-specific post-training,At most 10 hours per task,Autonomous evaluation claimed; setup labor unknown,None,No,Task selection; hardware calibration; full per-task datasets,Dyna reports 14 on-robot tasks across three embodiments after task-specific robot-data post-training.,High,Low,P1
DYN-C030,On-robot protocol,"Dyna reports 10 trials per task and 12 for language following, with evaluators not involved in model development.",DYN-S006,Official Research,2026-08-15,Moderate,14-task suite,Blind evaluator role; identical protocols,Company-run quantitative evaluation,Not transcribed,Not applicable,10 trials per task; 12 for language following,Not applicable,Three embodiment classes; physical unit count Unknown,Task-specific,At most 10 hours per task,Unknown during setup and resets,None,No,Randomization; evaluator blinding to checkpoint; confidence intervals,The company reports 10–12 trials per task with evaluators separated from model development.,High,Medium,P1
DYN-C031,On-robot scaling,Mean normalized score across 14 tasks rises 20%→28%→45%→53% across the 1k→1M pre-training ladder.,DYN-S006,Official Research,2026-08-15,Moderate,Company internal 14-task suite,Per-task native metrics normalized to each task ceiling,Company-run quantitative evaluation,Not transcribed,Not applicable,10 trials per task; 12 for language following,Not applicable,Three embodiment classes; physical unit count Unknown,Same post-training recipe at each rung,At most 10 hours per task,Unknown,None,No,Weighting sensitivity; confidence intervals; per-seed variance,Dyna reports monotonic normalized on-robot gains across its four human-video pre-training scales.,High,High,P0
DYN-C032,Bottle-cap adaptation,"The Dyna-2 technical report describes roughly 10 minutes of robot demonstrations for bottle-cap untwisting and reports 10%, 10%, 40%, and 50% success across increasing pre-training rungs.",DYN-S006,Official Research,2026-08-15,Moderate,One dexterous-hand task,10 physical trials per checkpoint reported by general protocol,Company-run quantitative evaluation,roughly 10 minutes of robot demonstrations,Not applicable,10 trials per checkpoint under the disclosed general protocol,Not applicable,One dual-arm dexterous-hand setup; unit count Unknown,~10 minutes of demonstrations; engineering cost unknown,Task-specific robot demonstrations,Unknown,None,No,The related press release says 13 minutes; exact accepted versus collected duration; teleoperator; seeds; failure modes,Dyna reports a low-data bottle-cap result; the small trial count makes the percentages sensitive to individual attempts.,High,High,P0
DYN-C033,Post-training,The 14-task recipe uses robot-only post-training with no human-robot alignment or co-training.,DYN-S006,Official Research,2026-08-15,Strong,14 on-robot tasks,Explicit recipe statement,Official architecture or method disclosure,Not transcribed,Not applicable,Not applicable,Not applicable,Not applicable,Task-specific; at most 10 hours per task,Robot demonstrations required,Unknown,None,No,Hyperparameters; whether representation adapters are embodiment-specific,Dyna attributes the across-rung difference to human-only pre-training followed by matched robot-only post-training.,High,Low,P1
DYN-C034,World modeling ablation,"At matched steps, the joint video/action objective reportedly beats action-only on all 39 offline tasks at 5k, 50k, and 100k action-hour scales.",DYN-S006,Official Research,2026-08-15,Moderate,39-task offline suite,Three-way objective/data ablation,Company-run quantitative evaluation,Not transcribed,Not applicable,Not applicable,Not applicable,Not applicable,None,Human pseudo-action and video data,Not applicable,None,No,Effect sizes per task; seeds; multiple-comparison treatment,"Dyna reports unanimous offline gains from adding future-video prediction, but only on its company-run evaluation.",High,Medium,P1
DYN-C035,Video-only scaling,"With action-labeled human data fixed, adding more video-only human data reportedly improves held-out robot prediction monotonically in two scale regimes.",DYN-S006,Official Research,2026-08-15,Moderate,Offline robot evaluation,50k action hours plus 0/1k/10k/50k video; 250k plus 0/250k/750k video,Company-run quantitative evaluation,Not transcribed,Not applicable,Not applicable,Not applicable,Not applicable,None,Human data only,Not applicable,None,No,Model seeds; exact slopes; downstream on-robot replication,Dyna reports video-only data as an additional offline cross-embodiment scaling axis; physical success was not tested in this ablation.,High,Medium,P1
DYN-C036,WAM versus VLA,An early Dyna-2 WAM achieved 1.55× the success rate and 1.12× the grade of Dyna-1 VLA when pooled over 7 tasks and 3 checkpoints.,DYN-S006,Official Research,2026-08-15,Moderate,Internal 7-task comparison,Matched data/hyperparameters; VLA set to 1.0; paired bootstrap intervals,Company-run quantitative evaluation,Not transcribed,Not applicable,7 tasks x 3 checkpoints; raw trial count undisclosed,Not applicable,Not applicable,Same post-training data,Same datasets,Unknown,None,No,Raw counts; task identities; seeds; effect by task; production recipe differences,"In Dyna's matched internal comparison, an early WAM outperformed its prior internal VLA baseline on pooled metrics.",High,Medium,P1
DYN-C037,WAM versus VLA,"Head-to-head cells favored early Dyna-2 65%, Dyna-1 29%, with 6% ties.",DYN-S006,Official Research,2026-08-15,Moderate,21 task×checkpoint cells per architecture,Matched checkpoint and task cells,Company-run quantitative evaluation,Not transcribed,Not applicable,21 task-checkpoint cells,Not applicable,Not applicable,Same,Same,Unknown,None,No,Independence of cells; raw outcomes; tuning budget,Dyna reports a 65/29/6 head-to-head split in an internal comparison; it is not a field-wide WAM-versus-VLA verdict.,Medium,Medium,P1
DYN-C038,Customer deployment,"At customer sites, Dyna reports Dyna-2 passed production criteria 87% versus Dyna-1 at 46%, with matched post-training and no site data.",DYN-S006,Official Research,2026-08-15,Moderate,Unspecified customer sites and tasks,On-site operator grading against customer criteria,Company-run quantitative evaluation,87% versus 46% customer-site pass rate,Company-described customer site,Unknown,Unknown,Unknown,No site-specific fine-tuning claimed; original task post-training remains,Same task datasets for both models,Operators reportedly not model developers,None,No,Sites; tasks; trial count; customer criteria; operator affiliations; confidence intervals,Dyna reports an 87% versus 46% customer-site pass rate under matched post-training; details needed for independent audit are not public.,High,High,P0
DYN-C039,Customer evaluation,Dyna states on-site pass rates were graded by operators not involved in model development.,DYN-S006,Official Research,2026-08-15,Moderate,Unspecified deployments,Operator grading,Company-run quantitative evaluation,Not transcribed,Company-described customer site,Not applicable,Not applicable,Not applicable,Unknown,No site data claimed,Operators perform grading,None,No,Whether operators are Dyna employees or customers; blinding; sample size,"The company says non-developer operators graded customer-site runs; this is separation of roles, not third-party verification.",Medium,Medium,P1
DYN-C040,Instruction following,Internal language-following success rises from 35% action-only to 67% with early video co-training and 96% with the full Dyna-2 corpus.,DYN-S006,Official Research,2026-08-15,Moderate,Three internal benchmarks,Few hours post-training; partial credit counted as 0.5,Company-run quantitative evaluation,Not transcribed,Not applicable,Language-following trial count reported as 12 in the suite protocol,Not applicable,Not applicable,Few hours per task,Robot post-training data,Unknown,None,No,Trial counts by task; confidence intervals; corpus differences beyond scale,Dyna reports large internal instruction-following gains from video co-training and corpus scale.,Medium,High,P1
DYN-C041,One-step video,"Dyna reports a one-step distilled video generator with about 90× lower time-to-latents than its teacher, but lower quality.",DYN-S006,Official Research,2026-08-15,Moderate,Instruction-conditioned manipulation video,Internal teacher/student comparison,Company-run quantitative evaluation,Not transcribed,Not applicable,Not applicable,Not applicable,Not applicable,Distillation required,Human/video data,Not applicable,None,No,Absolute latency; hardware; quality metric; planning success,Dyna reports ~90× faster latent generation for a one-step student and explicitly notes it does not match teacher quality.,Low,Medium,P2
DYN-C042,Storage,Dyna reports tuned MCAP/H.264 storage about 68% smaller than per-frame JPEG and reads about 2.9× faster than default chunking.,DYN-S007,Official Research,2026-08-17,Moderate,Real teleoperation episodes and stated reader,Internal before/after benchmark,Company-run quantitative evaluation,Not transcribed,Not applicable,Not applicable,Not applicable,Not applicable,Migration and engineering cost undisclosed,Robot episode data,Not applicable,None,No,Dataset size; hardware; codec settings; confidence intervals,Dyna reports ~68% storage reduction and ~2.9× faster sample reads for its workload; results are system-specific.,High,Medium,P1
DYN-C043,Ingestion,"Dyna reports ingestion throughput increasing from 14,000 to 440,000 episode-hours per week.",DYN-S007,Official Research,2026-08-17,Moderate,Dyna ingestion pipeline,Historical production throughput after Airflow/DAG and scheduling changes,Company-run quantitative evaluation,Not transcribed,Not applicable,Not applicable,Not applicable,Not applicable,Substantial rewrite; cost undisclosed,Robot/human episode corpus,Automated with QA stages; human QA unknown,None,No,Compute fleet; data complexity; quality-pass rate; cost per hour,Dyna reports a 31× ingestion-throughput increase after an end-to-end pipeline rewrite.,High,Medium,P1
DYN-C044,Manifest,Dyna reports manifest construction falling from about 48 hours to under one minute using warehouse queries and memory-mapped local files.,DYN-S007,Official Research,2026-08-17,Moderate,One-million-hour corpus; 43M+ episodes at initial scale,Internal startup benchmark,Company-run quantitative evaluation,Not transcribed,Not applicable,Not applicable,Not applicable,Not applicable,Warehouse and CDC build cost undisclosed,Metadata and episode table,Not applicable,None,No,Query cost; file size; hardware; distinction between build and load in headline,Dyna reports reducing cold manifest startup from ~48 hours to under a minute by replacing filesystem walks with analytical queries and mapped files.,High,Medium,P1
DYN-C045,Training I/O,Dyna reports cluster-local cache throughput of about 2 GB/s per node and 98% GPU utilization on a warm multi-node run.,DYN-S007,Official Research,2026-08-17,Moderate,Warm multi-node Dyna training run,Internal steady-state benchmark,Company-run quantitative evaluation,Not transcribed,Not applicable,Not applicable,Not applicable,Not applicable,Cache warm-up and NVMe capacity required,Working set staged from object storage,Not applicable,None,No,Node count; utilization definition; miss rate; end-to-end cost; cold performance,Dyna reports ~2 GB/s per-node cached reads and 98% warm-run GPU utilization; these are internal system metrics.,High,Medium,P1
DYN-C046,Optimizer,Dyna reports topology-aware optimizer steps about 3× faster at the scale where intra-node sharding replaces world sharding.,DYN-S007,Official Research,2026-08-17,Moderate,One disclosed trigger-scale node count,Internal optimizer-step timing,Company-run quantitative evaluation,Not transcribed,Not applicable,Not applicable,Not applicable,Not applicable,Runtime strategy switch,Not applicable,Not applicable,None,No,Node count; model size; end-to-end training gain; reproducibility,"Dyna reports an average ~3× optimizer-step improvement at large scale, not a 3× end-to-end training speedup.",High,Medium,P1
DYN-C047,Job resilience,"Dyna uses preflight node checks, automatic worker restarts, Slurm requeue, and checkpoint recovery.",DYN-S007,Official Research,2026-08-17,Moderate,Multi-node training fleet,Operational design description with incident examples,Official architecture or method disclosure,Not transcribed,Not applicable,Not applicable,Not applicable,Not applicable,Engineering and checkpoint overhead unknown,Not applicable,Automated restart; operators handle persistent faults,None,No,Failure rate; mean time to recovery; lost work; checkpoint interval,Dyna describes a layered resilience system; quantitative reliability improvement is not disclosed.,High,Low,P1
DYN-C048,Commercial metric,Dyna's homepage claims 100 laundry items per hour and at least 98% delivery-ready quality.,DYN-S001,Official Company / Marketing,Undated,Weak,Unspecified laundry workflow and sites,No protocol or denominator on homepage,Marketing wording without disclosed protocol,100 items/hr; at least 98% delivery-ready,Homepage scope; customer sites not identified,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,None,No,Robot count; task mix; runtime; interventions; acceptance rubric,Dyna currently advertises 100 items/hour and ≥98% delivery-ready quality; treat as unverified company metrics.,High,High,P1
DYN-C049,Commercial metric,Dyna's homepage claims 180 food-service items per hour and under 90 seconds per bus tub.,DYN-S001,Official Company / Marketing,Undated,Weak,Unspecified food/hospitality deployment,No protocol or customer identified,Marketing wording without disclosed protocol,180 items/hr; under 90 seconds per bus tub,Homepage scope; customer sites not identified,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,None,No,Item definition; tub size; robot count; failures; interventions,Dyna advertises these food-service throughput figures without a public evaluation protocol.,High,High,P1
DYN-C050,Commercial metric,Dyna's homepage claims 200 factory units per hour and ±2 mm placement accuracy across changing SKUs.,DYN-S001,Official Company / Marketing,Undated,Weak,Unspecified factory workflow,No protocol or customer identified,Marketing wording without disclosed protocol,200 units/hr; plus or minus 2 mm placement accuracy,Homepage scope; customer sites not identified,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,None,No,Measurement method; distribution; inspection criteria; novel-SKU count,Dyna advertises these factory metrics; no public customer audit or standardized benchmark is linked.,High,High,P1
DYN-C051,Autonomy marketing,Dyna's homepage claims real-time recovery and 24/7 autonomous operation without human oversight.,DYN-S001,Official Company / Marketing,Undated,Weak,General product positioning,Marketing copy; no linked fleet-level reliability statistics,Marketing wording without disclosed protocol,Real-time recovery; 24/7 autonomous operation,Homepage scope; customer sites not identified,Unknown,Homepage says 24/7; measured uptime window Unknown,Unknown,Unknown,Unknown,Claims none,None,No,MTBF; intervention rate; uptime denominator; safety supervision; fleet scope,"Dyna markets real-time recovery and 24/7 autonomy; public evidence supports selected runs, not a fleet-wide guarantee.",High,High,P0
DYN-C052,Deployment marketing,"Dyna's current homepage says its robots learn in hours, deploy in minutes, and scale reliably from one site to hundreds.",DYN-S001,Official Company / Marketing,Undated,Weak,General product positioning,No protocol,Marketing wording without disclosed protocol,learn in hours; deploy in minutes; scaling reliably from one site to hundreds,Homepage scope; customer sites not identified,Unknown,Unknown,Unknown,Claimed low; contradicted by later retrospective for early deployments,Unknown,Unknown,None,No,Definitions of learn and deploy; task boundary; engineering labor; number of sites; evidence for reliable scaling,"Treat the current learn-in-hours, deploy-in-minutes and one-site-to-hundreds wording as unverified marketing claims; do not restore deleted historical wording without a dated source snapshot.",High,High,P0
