claim_id,section_id,claim_text,source_id,source_type,evidence_strength,scope,adaptation_cost,intervention_status,unknowns,last_verified,recommended_revision,priority
C027,embodiment,"多数任务当前按人类自然速度的约 50% 训练和运行",O1,company_official,medium_high,"官网的多数任务；自然速度未操作化定义",not_applicable,not_applicable,"人类基线人群、任务集合、轨迹时间缩放方式、移动与手臂速度是否同口径",2026-07-18,"保留约数并写明是公司口径；要求按任务给出绝对速度和基线定义",P0
C028,embodiment,"速度降为一半时，在其他条件不变的简化模型下碰撞动能约降至四分之一",,report_inference,high,"仅适用于质量不变且速度是相关碰撞速度的经典动能关系",not_applicable,not_applicable,"真实碰撞中的有效质量、控制响应、接触刚度和静态夹持风险",2026-07-18,"保留公式限定，明确这是物理推导而非 Memo 实测安全结果",P1
C029,safety,"Memo 具有 passive stability，任意状态断电不会突然掉落重量或倾倒",O1,company_official,medium,"官网的公司安全声明",not_applicable,not_applicable,"负载、姿态、坡度、碰撞条件、测试标准和第三方报告",2026-07-18,"改为：Sunday 声称……；在无标准化试验前不要视作硬保证",P0
C030,safety,"Memo 使用 compliant control，人可在操作中推动机械臂",O1;O7,company_official,medium,"官网/内测展示",not_applicable,human_contact_demo_only,"峰值力、停止时间、关节刚度、碰撞检测阈值和故障工况",2026-07-18,"保留为功能声明，删除由此直接推出安全的强表述",P0
C031,safety,"Memo 的安全设计明显优于仅靠模型约束的系统",O1;O7,report_inference,low_medium,"架构比较，没有同任务对照试验",not_applicable,not_applicable,"对照系统、量化风险指标、故障注入、认证和长期事故数据",2026-07-18,"改为：公开信息显示其采用本体、控制与学习的分层安全思路；优于何种系统尚无对照证据",P0
C032,safety,"本次报告未找到 Sunday 取得 ISO 13482、UL 3300 或等价第三方认证的公开结果",P7;P8,report_audit_finding,medium,"截至审计日期的公开来源检查；不是不存在认证的证明",not_applicable,not_applicable,"未公开或进行中的认证、适用产品版本和市场",2026-07-18,"写成未找到公开结果，禁止改写为没有认证",P0
C033,safety,"ISO 13482:2014 覆盖个人护理机器人的安全要求，可作为家庭移动服务机器人分析参照",P7,standard,high,"标准规定的适用范围；需逐项判断 Memo 是否落入范围",not_applicable,not_applicable,"产品预期用途、司法辖区、标准修订状态和合规路径",2026-07-18,"把来源标签从论文改为标准，并注明 2014 版处于待修订状态",P1
C034,safety,"UL 3300 涵盖服务/通信/信息/教育/娱乐机器人相关安全评估，可作为参照",P8,standards_body_overview,medium_high,"UL Solutions 概览页；不是规范全文",not_applicable,not_applicable,"具体版次、条款、Memo 的适用性和认证状态",2026-07-18,"把来源标签从论文改为标准机构，并引用规范目录或标准正文",P1
C035,transparent,"透明物体可能让标准 RGB-D 传感器产生缺失、错误或后方表面深度",P5,research_paper,high,"ClearGrasp 所讨论的透明物体感知场景",paper_specific,not_applicable,"Memo 的传感器类型、实际深度失效率和替代感知方案",2026-07-18,"保留一般技术事实，并避免据此推断 Memo 必然使用或解决某特定深度方案",P1
C036,transparent,"ACT-1 展示 Memo 单手同时搬运两个酒杯且不打破",O4,company_official_demo,low_medium,"官方公开视频中的能力案例；杯型和条件未知",unknown,"官方称自主/力敏感；尝试与介入规则未披露","尝试次数、成功率、杯型、湿度、装载、接触力、剪辑和破损率",2026-07-18,"写成公开视频展示至少一次；不得提升为稳定能力或安全统计",P0
C037,deformable,"柔性物体操作涉及高维状态空间、复杂动力学、自遮挡与摩擦挑战",P6,research_paper,high,"柔性物体操作领域综述",paper_specific,not_applicable,"不同任务所需状态表示和与 Memo 实现的具体对应",2026-07-18,"保留领域事实并增加精确章节定位",P2
C038,deformable,"ACT-2 使用五级折衣质量评分规程",O5,company_official_self_report,medium_high,"778 次成功折叠的公司评分流程",zero_per_home_as_defined,"两轮人工标注，差异由 review lead 处理","标注者盲法、互标一致性、原始分数、失败是否计质量",2026-07-18,"补充评分只覆盖成功折叠、双轮审核及量表固定时点",P1
C039,recovery,"ACT-2 展示从地面取回衣物、受儿童或人为扰动后继续折叠并重新规划",O5,company_official_demo,low_medium,"官方案例视频；扰动分布未定义",zero_per_home_as_defined,"外部扰动由人施加；恢复时人工接管规则未披露","扰动强度、次数、恢复成功率、失败分类、剪辑和重置规则",2026-07-18,"拆成三个 demo claim，并明确是能力案例而不是统计性可靠性证据",P0
C040,recovery,"被打断后恢复不能单独证明机器人使用长期记忆",,report_inference,high,"因果识别逻辑：若当前观察充分，反应式策略也可恢复",not_applicable,not_applicable,"ACT-2 的观测历史、状态表示和消融实验",2026-07-18,"保留为分析判断，并提出 matched-history 因果测试",P1
C041,generalization,"ACT-1 在多个未见 Airbnb 住宅执行 Table-to-Dishwasher，使用给定 3D 地图且无环境专属训练",O4,company_official_self_report,medium,"官方选定的未见住宅和任务；地图已给定",map_required;no_environment_specific_training_claimed,"官方称自主；地图制作、重置、远程协助和失败统计未披露","住宅数量、选择规则、每宅尝试、完整失败率、建图和标定成本",2026-07-18,"将 zero-shot/未见住宅与给定地图同时写出，避免称零现场适配",P0
C042,act,"ACT-1 的 zero robot data 指没有机器人遥操作轨迹，训练仍使用人类手套示范",O4,company_official,medium_high,"ACT-1 训练数据口径",not_disclosed,human_demonstration_data,"是否存在机器人 rollout、合成数据、校准数据、后训练数据及其是否计入 robot data",2026-07-18,"首次出现时写全限定：zero robot teleoperation trajectories；避免裸写 zero robot data",P0
C043,act,"Skill Transform 将手套数据转换为等价机器人数据，官方报告转换成功率 90%",O4,company_official_self_report,medium,"公司内部转换任务；成功定义未公开",not_applicable,human_or_automated_review_unknown,"分母、成功判据、抽样、误差分布、失败去向和独立复核",2026-07-18,"改为公司报告 90% 转换成功率，并紧邻说明定义和评测协议未知",P0
C044,act,"Table-to-Dishwasher 包含 33 类独特灵巧交互、68 次总灵巧交互、21 个不同物体和超过 130 英尺导航",O4,company_official_self_report,medium,"一个官方定义的长程任务/rollout 或展示集合；分段规则未公开",map_required;no_environment_specific_training_claimed,"官方称自主；介入、剪辑和重置未知","interaction 的单位/边界、是否单次连续 rollout、对象去重规则、路径测量和失败尝试",2026-07-18,"四个数字保持同一来源和同一限定；避免把 68 写成独立评测次数",P0
C045,act,"ACT-2 在 785 次尝试中成功 778 次，平均成功率 99.1%±0.3% 标准误",O5,company_official_self_report,medium_high,"9 类衣物和页面声明分布",zero_per_home_as_defined,"公司称自主；重置/接管规则未完整披露","标准误计算、trial independence、家庭聚类、失败视频和预注册材料",2026-07-18,"正文同时报告分子/分母、误差指标和公司内部评测属性",P0
C046,act,"ACT-2 的 778 次成功折叠平均质量为 4.72/5，98.3% 达到四或五星，73.8% 为五星",O5,company_official_self_report,medium_high,"只覆盖成功折叠；五级公司量表",zero_per_home_as_defined,"双轮人工评分；盲法和外部审核未知","失败如何进入总体质量、评分一致性、原始标注数据",2026-07-18,"明确条件分母是 778 次成功折叠，不是全部 785 次尝试",P0
C047,act,"ACT-2 各衣物成功率为 Shorts 100%、厚长袖 100%、薄长袖 100%、Polos 100%、Sleeveless 100%、T-shirts 99.0%、Pants 98.8%、Leggings 96.3%、Blouses 94.7%",O5,company_official_self_report,medium,"类别样本量分别为 98、85、79、46、7、312、85、54、19",zero_per_home_as_defined,"公司称自主；重置/接管规则未完整披露","类别置信区间、家庭聚类、物品实例数、失败分布",2026-07-18,"补齐当前页面遗漏的薄长袖、Polos、Sleeveless 三类，所有百分比必须同行显示 n",P0
C048,claims,"Memo 可在未见住宅完成家庭操作",O4,company_official_self_report,medium,"仅支持 Table-to-Dishwasher 等公开任务、给定 3D 地图和公司选择住宅",map_required;no_environment_specific_training_claimed,"官方称自主；完整介入规则未知","完整失败率、住宅数量、地图制作成本和独立测试",2026-07-18,"缩窄为 ACT-1 在官方选择的未见住宅完成指定任务案例；不得泛化到家庭操作整体",P0
C049,claims,"Sunday 已从 stealth/demo 阶段转向部署准备",O6;T1,report_inference,low_medium,"融资、招聘和 beta 计划的组织信号",not_applicable,not_applicable,"实际部署数量、制造状态、运维体系、价格和留存",2026-07-18,"写成这些信号与部署准备一致，而非已经完成阶段迁移",P1
C050,safety,"Memo 展示自主充电能力",,uncited_company_demo,low,"当前 HTML 安全表中的一句描述；没有正文引用锚点",unknown,"自主定义、对接失败与人工扶正未知","原始视频来源、时间戳、尝试数、充电握手、过流/温升/互锁、剪辑和重置",2026-07-18,"补直接来源和 demo audit；在核验前改为公开视频似乎展示或删除",P0
C051,safety,"官网强调隐私保护",O1;O7,company_official,low_medium,"公司原则性声明",not_applicable,not_applicable,"端云架构、录像策略、数据保留、访问控制、删除权、安全审计和事件响应",2026-07-18,"改为公司称重视隐私，并列出缺失的可验证控制措施",P1
